CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018
1,Aguascalientes,1007,Rincón de Romos,10070133,Cerro del Gato [Colonia],C01.01,Rincón de Romos,0
1,Aguascalientes,1007,Rincón de Romos,10070419,Lázaro Cárdenas [Fraccionamiento],C01.01,Rincón de Romos,0
7,Chiapas,7034,Frontera Comalapa,70340137,La Lima,C07.02,Frontera Comalapa,0
7,Chiapas,7034,Frontera Comalapa,70340396,Benito Juárez,C07.02,Frontera Comalapa,0
7,Chiapas,7034,Frontera Comalapa,70340436,Barrio Nuevo,C07.02,Frontera Comalapa,0
7,Chiapas,7040,Huixtla,70400004,Aquiles Serdán,C07.04,Huixtla,0
7,Chiapas,7068,Pichucalco,70680086,Napana,C07.05,Pichucalco,0
7,Chiapas,7078,San Cristóbal de las Casas,70780172,Molino los Arcos,C07.06,San Cristóbal de las Casas,0
7,Chiapas,7078,San Cristóbal de las Casas,70780174,Las Peras,C07.06,San Cristóbal de las Casas,0
7,Chiapas,7078,San Cristóbal de las Casas,70780194,Monte de los Olivos,C07.06,San Cristóbal de las Casas,0
7,Chiapas,7094,Teopisca,70940115,El Porvenir,C07.07,Teopisca,0
7,Chiapas,7102,Tuxtla Chico,71020072,15 de Abril,C07.01,Cacahoatán,0
7,Chiapas,7103,Tuzantán,71030041,Veintinueve de Diciembre,C07.04,Huixtla,0
7,Chiapas,7103,Tuzantán,71030178,Jubileo Dos Mil,C07.04,Huixtla,0
7,Chiapas,7103,Tuzantán,71030185,San Miguel,C07.04,Huixtla,0
7,Chiapas,7103,Tuzantán,71030210,Los Rosales,C07.04,Huixtla,0
7,Chiapas,7103,Tuzantán,71030214,Tercer Cantón la Curva,C07.04,Huixtla,0
7,Chiapas,7109,Yajalón,71090296,Barranca Nabil,C07.08,Yajalón,0
11,Guanajuato,11001,Abasolo,110010174,Tamazula,C11.01,Abasolo,0
11,Guanajuato,11001,Abasolo,110010586,Colonia Solidaridad (Colonia Morelos),C11.01,Abasolo,0
11,Guanajuato,11003,San Miguel de Allende,110030574,Francisco Villa [Fraccionamiento],C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030583,Miguel Hidalgo,C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030590,Insurgentes,C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030792,Montes de Loreto,C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030846,Santa Cecilia,C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030943,La Lomita,C11.02,San Miguel de Allende,0
11,Guanajuato,11014,Dolores Hidalgo Cuna de la Independencia Nacional,110140813,San Diego del Llanito,C11.04,Dolores Hidalgo,0
11,Guanajuato,11017,Irapuato,110170064,La Candelaria (El Rodete),C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170459,Colonia Plan Vivirá,C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170466,Las Malvas (El Resbalón),C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170819,Fraccionamiento las Huertas,C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170863,Fraccionamiento las Liebres,C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170867,Las Huertas Tercera Sección,C11.05,Irapuato,0
11,Guanajuato,11027,Salamanca,110270089,La Luz (La Cal),C11.06,Salamanca,0
11,Guanajuato,11027,Salamanca,110270362,El Pitahayo,C11.06,Salamanca,0
11,Guanajuato,11032,San José Iturbide,110320254,El Pinito,C11.08,San José Iturbide,0
11,Guanajuato,11033,San Luis de la Paz,110330565,Colonia Benito Juárez,C11.09,San Luis de la Paz,0
11,Guanajuato,11035,Santa Cruz de Juventino Rosas,110350184,Juan Mendoza Rangel (Ejidal Zúñiga),C11.10,Juventino Rosas,0
12,Guerrero,12035,Iguala de la Independencia,120350161,Colonia Vista Hermosa,C12.02,Iguala de la Independencia,0
12,Guerrero,12035,Iguala de la Independencia,120350176,El Mezquite,C12.02,Iguala de la Independencia,0
12,Guerrero,12050,Pungarabato,120500014,Santa Bárbara,C12.03,Ciudad Altamirano-Riva Palacio,0
12,Guerrero,12050,Pungarabato,120500020,Santa Bárbara [Unidad Habitacional],C12.03,Ciudad Altamirano-Riva Palacio,0
12,Guerrero,12066,Tlapa de Comonfort,120660005,Atlamajac,C12.05,Tlapa de Comonfort,0
12,Guerrero,12066,Tlapa de Comonfort,120660073,Colonia Constitución,C12.05,Tlapa de Comonfort,0
12,Guerrero,12066,Tlapa de Comonfort,120660089,Ninguno [Unidad Habitacional],C12.05,Tlapa de Comonfort,0
12,Guerrero,12066,Tlapa de Comonfort,120660092,Colonia Monte Sinaí,C12.05,Tlapa de Comonfort,0
13,Hidalgo,13008,Apan,130080200,San José el Mirador,C13.02,Apan,0
13,Hidalgo,13008,Apan,130080233,Ampliación Loma Bonita,C13.02,Apan,0
13,Hidalgo,13028,Huejutla de Reyes,130280026,Coco Chico,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280027,Coco Grande,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280093,Tepexititla,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280134,Zapotitla,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280191,La Curva Tlaltzintla,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280210,Palzoquiapa,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280262,La Curva Tlaltzintla II,C13.03,Huejutla de Reyes,0
13,Hidalgo,13063,Tepeji del Río de Ocampo,130630053,Unidad Obrera Habitacional CTM,C13.07,Tepeji de Ocampo,0
13,Hidalgo,13067,Tezontepec de Aldama,130670018,San Isidro Presas,C13.09,Tezontepec de Aldama,0
13,Hidalgo,13067,Tezontepec de Aldama,130670020,La Loma,C13.09,Tezontepec de Aldama,0
13,Hidalgo,13072,Tlanalapa,130720010,San Vicente,C13.06,Ciudad Sahagún-Tepeapulco,0
14,Jalisco,14085,Tamazula de Gordiano,140850156,Soyatlán de Afuera,C14.05,Tamazula de Gordiano,0
15,México,15026,Chapa de Mota,150260024,Santa Elena,C15.02,San Felipe Coamango-San Juan Tuxtepec,0
15,México,15042,Ixtlahuaca,150420066,Ejido de la Concepción de los Baños Primero,C15.04,Los Baños,0
15,México,15074,San Felipe del Progreso,150740037,Guadalupe Coté,C15.06,San Nicolás Guadalupe,0
15,México,15074,San Felipe del Progreso,150740281,Barrio el Rincón Santa Ana Nichi Ejido,C15.06,San Nicolás Guadalupe,0
15,México,15074,San Felipe del Progreso,150740290,"Barrio las Palomas, San Miguel la Labor",C15.06,San Nicolás Guadalupe,0
15,México,15082,Tejupilco,150820138,Rincón de Aguirre,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820147,Rincón de Ugarte,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820206,Rincón de Jaimes,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820540,El Capire (Colonia el Capire),C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820543,Juntas de Zacatepec (El Pedregal Segunda Manzana),C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820564,Colonia Buenavista Primera Sección,C15.07,Tejupilco de Hidalgo,0
15,México,15085,Temascalcingo,150850020,Puruahua,C15.08,Temascalcingo de José María Velasco,0
15,México,15088,Tenancingo,150880006,Chalchihuapan,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880010,Ejido de Tenería (El Llano),C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880015,Pueblo Nuevo,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880020,San Juan Tetitlán,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880037,Rinconada de Santa Teresa,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880039,Rinconada de Atotonilco,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880067,La Ocotalera,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880068,Barrio Santa Teresa,C15.09,Tenancingo de Degollado,0
15,México,15110,Valle de Bravo,151100055,Casas Viejas,C15.10,Valle de Bravo,0
15,México,15110,Valle de Bravo,151100098,Barrio de Guadalupe,C15.10,Valle de Bravo,0
16,Michoacán de Ocampo,16034,Hidalgo,160340066,Llano del Ejido (El Mirador),C16.01,Ciudad Hidalgo,0
16,Michoacán de Ocampo,16045,Jiquilpan,160450051,Niños Héroes,C16.06,Sahuayo de Morelos,0
16,Michoacán de Ocampo,16066,Pátzcuaro,160660061,Joya de los Molinos,C16.04,Pátzcuaro,0
16,Michoacán de Ocampo,16066,Pátzcuaro,160660099,Fraccionamiento el Mirador,C16.04,Pátzcuaro,0
16,Michoacán de Ocampo,16076,Sahuayo,160760033,Colonia Independencia (Coyacho),C16.02,Jiquilpan de Juárez,0
16,Michoacán de Ocampo,16076,Sahuayo,160760050,18 de Marzo [Fraccionamiento],C16.02,Jiquilpan de Juárez,0
16,Michoacán de Ocampo,16102,Uruapan,161020081,Jicalán (La Pinerita),C16.07,Uruapan,0
16,Michoacán de Ocampo,16102,Uruapan,161020451,Lomas del Rey [Fraccionamiento],C16.07,Uruapan,0
16,Michoacán de Ocampo,16110,Zinapécuaro,161100006,Bocaneo (San Pedro),C16.09,Zinapécuaro de Figueroa,0
16,Michoacán de Ocampo,16112,Zitácuaro,161120132,La Loma (Tercera Manzana de San Miguel),C16.10,Zitácuaro,0
17,Morelos,17003,Axochiapan,170030021,Colonia los Laureles,C17.01,Axochiapan,0
17,Morelos,17017,Puente de Ixtla,170170069,Los Guajes,C17.02,Xoxocotla,0
17,Morelos,17025,Tlaquiltenango,170250023,Alfredo V. Bonfil (Chacampalco),C17.03,Jojutla-Tlaquiltenango,0
17,Morelos,17025,Tlaquiltenango,170250025,Colonia 3 de Mayo (El Tepiolol),C17.03,Jojutla-Tlaquiltenango,0
17,Morelos,17025,Tlaquiltenango,170250082,Ampliación Gabriel Tepepa,C17.03,Jojutla-Tlaquiltenango,0
17,Morelos,17031,Zacatepec,170310036,Colonia Plan de Ayala,C17.04,Zacatepec de Hidalgo,0
18,Nayarit,18001,Acaponeta,180010021,El Centenario,C18.01,Acaponeta,0
20,Oaxaca,20014,Ciudad Ixtepec,200140046,Colonia Niza Luba,C20.01,Ciudad Ixtepec,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430146,Colonia 19 de Marzo (Colonia San José),C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430148,Colonia de la Amistad,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430150,Colonia José Yola,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430151,Colonia Mariano Montero,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430152,Colonia San Isidro,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430153,Colonia San Vicente,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840103,El Cañaveral,C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840140,Colonia Víctor Bravo Ahuja (Segunda Etapa),C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840301,Colonia Ortega,C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840344,San Francisco,C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840345,Vista Hermosa,C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20294,San Pablo Huitzo,202940002,Santa María Tenéxpam,C20.05,San Francisco Telixtlahuaca-San Pablo Huitzo,0
20,Oaxaca,20397,Heroica Ciudad de Tlaxiaco,203970023,San Pedro,C20.08,Tlaxiaco,0
20,Oaxaca,20397,Heroica Ciudad de Tlaxiaco,203970107,Jardines del Pedregal,C20.08,Tlaxiaco,0
20,Oaxaca,20401,Santa María Colotepec,204010086,Colonia Libertad,C20.07,Puerto Escondido-Zicatela,0
20,Oaxaca,20413,Santa María Huatulco,204130132,Sector U-Dos Norte,C20.09,Crucecita,0
20,Oaxaca,20413,Santa María Huatulco,204130136,Sector U-Dos Sur,C20.09,Crucecita,0
20,Oaxaca,20427,Santa María Petapa,204270010,Rincón Viejo,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20427,Santa María Petapa,204270025,El Bajío,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20427,Santa María Petapa,204270027,Hidalgo Norte,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20427,Santa María Petapa,204270028,Hidalgo Sur,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20427,Santa María Petapa,204270029,Lázaro Cárdenas,C20.03,Matías Romero Avendaño,0
21,Puebla,21004,Acatzingo,210040054,Apipilolco (Los -lamos),C21.01,Acatzingo de Hidalgo,0
21,Puebla,21010,Ajalpan,210100093,Las Palmas (San Miguel),C21.02,Ciudad de Ajalpan,0
21,Puebla,21019,Atlixco,210190197,San Francisco Primo de Verdad,C21.04,Atlixco,0
21,Puebla,21019,Atlixco,210190216,El León,C21.04,Atlixco,0
21,Puebla,21071,Huauchinango,210710061,Colonia PEMEX (Hueyatlagco),C21.08,Nuevo Necaxa-Tenango,0
21,Puebla,21091,Juan Galindo,210910014,Cuautlita (El Gamito),C21.08,Nuevo Necaxa-Tenango,0
21,Puebla,21104,Nopalucan,211040006,Juan de la Granja,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,0
21,Puebla,21104,Nopalucan,211040053,Colonia Obrera,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,0
21,Puebla,21104,Nopalucan,211040057,La Joya,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,0
21,Puebla,21104,Nopalucan,211040061,Moctezuma,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,0
21,Puebla,21118,Los Reyes de Juárez,211180015,San Juan Acozac,C21.01,Acatzingo de Hidalgo,0
21,Puebla,21175,Tianguismanalco,211750017,La Villa Tercera Sección,C21.04,Atlixco,0
21,Puebla,21197,Xicotepec,211970018,San Isidro,C21.13,Xicotepec de Juárez,0
21,Puebla,21197,Xicotepec,211970098,Lomas Verdes,C21.13,Xicotepec de Juárez,0
21,Puebla,21199,Xiutetelco,211990037,La Cantera,C30.08,Jalacingo-San Juan Xiutetelco,0
21,Puebla,21199,Xiutetelco,211990046,La Ciénega,C30.08,Jalacingo-San Juan Xiutetelco,0
21,Puebla,21199,Xiutetelco,211990048,Sección Segunda Xiutetelco,C30.08,Jalacingo-San Juan Xiutetelco,0
21,Puebla,21199,Xiutetelco,211990051,Xaltipan (Sección Décima),C30.08,Jalacingo-San Juan Xiutetelco,0
21,Puebla,21204,Yaonáhuac,212040013,Atemeya,C21.03,Atempan,0
21,Puebla,21207,Zacapoaxtla,212070043,San Carlos,C21.14,Zacapoaxtla,0
22,Querétaro,22016,San Juan del Río,220160007,Casa Blanca,C22.01,San Juan del Río,0
22,Querétaro,22017,Tequisquiapan,220170107,Ramas Blancas,C22.02,Tequisquiapan,0
22,Querétaro,22017,Tequisquiapan,220170146,Familia Jiménez (Colonia Santa Fe),C22.02,Tequisquiapan,0
22,Querétaro,22017,Tequisquiapan,220170203,Nahui Ollin [Fraccionamiento],C22.02,Tequisquiapan,0
24,San Luis Potosí,24037,Tamazunchale,240370139,El Piñal,C24.01,Tamazunchale,0
24,San Luis Potosí,24037,Tamazunchale,240370370,Los Tamarindos,C24.01,Tamazunchale,0
25,Sinaloa,25001,Ahome,250010088,Benito Juárez,C25.01,Los Mochis,0
25,Sinaloa,25001,Ahome,250010189,Ejido 9 de Diciembre,C25.01,Los Mochis,0
25,Sinaloa,25001,Ahome,250010197,Plan de Ayala [Campo Cinco],C25.01,Los Mochis,0
25,Sinaloa,25011,Guasave,250110249,San Pedro Guasave (El Ranchito),C25.02,Guasave,0
25,Sinaloa,25011,Guasave,250110370,Las Crucecitas,C25.02,Guasave,0
25,Sinaloa,25011,Guasave,250110714,Sector la Cruz,C25.02,Guasave,0
25,Sinaloa,25015,Salvador Alvarado,250150044,Tultita,C25.04,Guamúchil,0
25,Sinaloa,25018,Navolato,250180367,Toboloto,C25.05,Navolato,0
26,Sonora,26018,Cajeme,260180391,Ejido Tepeyac (Campo Dos),C26.01,Ciudad Obregón,0
26,Sonora,26018,Cajeme,260180849,La Argentina,C26.01,Ciudad Obregón,0
26,Sonora,26018,Cajeme,260181172,Calle Muerta,C26.01,Ciudad Obregón,0
27,Tabasco,27002,Cárdenas,270020020,Calzada 1ra. Sección Norte A,C27.01,Cárdenas,0
27,Tabasco,27002,Cárdenas,270020143,Celia González de Rovirosa,C27.01,Cárdenas,0
27,Tabasco,27002,Cárdenas,270020144,De los Santos,C27.01,Cárdenas,0
27,Tabasco,27002,Cárdenas,270020148,Bajío 1ra. Sección A (Perifércio Sur),C27.01,Cárdenas,0
27,Tabasco,27002,Cárdenas,270020164,27 de Febrero (Locatarios del Mercado),C27.01,Cárdenas,0
27,Tabasco,27002,Cárdenas,270020170,Ampliación Carrizal,C27.01,Cárdenas,0
27,Tabasco,27002,Cárdenas,270020210,Calzada 1ra. Sección Sur,C27.01,Cárdenas,0
27,Tabasco,27003,Centla,270030211,Arroyo Polo 2da. Sección,C27.02,Frontera,0
27,Tabasco,27005,Comalcalco,270050110,Norte 1ra. Sección (Buena Vista),C27.03,Comalcalco,0
27,Tabasco,27006,Cunduacán,270060024,Huacapa y Amestoy,C27.04,Cunduacán,0
27,Tabasco,27006,Cunduacán,270060047,Pechucalco,C27.04,Cunduacán,0
27,Tabasco,27010,Jalpa de Méndez,270100041,Tomás Garrido Canabal (San José),C27.05,Jalpa de Méndez,0
27,Tabasco,27010,Jalpa de Méndez,270100051,Ribera Alta,C27.05,Jalpa de Méndez,0
27,Tabasco,27012,Macuspana,270120262,Santa Lucía,C27.07,Benito Juárez (San Carlos),0
30,Veracruz de Ignacio de la Llave,30013,Naranjos Amatlán,300130017,Rancho Nuevo,C30.01,Naranjos,0
30,Veracruz de Ignacio de la Llave,30023,Atzalan,300230251,Seis de Mayo,C30.09,Martínez de la Torre,0
30,Veracruz de Ignacio de la Llave,30047,Coscomatepec,300470017,Nicanor Espejo,C30.05,Coscomatepec de Bravo,0
30,Veracruz de Ignacio de la Llave,30053,Cuitláhuac,300530006,San Francisco (Mata Clara),C30.06,Cuitláhuac,0
30,Veracruz de Ignacio de la Llave,30053,Cuitláhuac,300530011,El Manantial,C30.06,Cuitláhuac,0
30,Veracruz de Ignacio de la Llave,30053,Cuitláhuac,300530089,Plan de Ayala,C30.06,Cuitláhuac,0
30,Veracruz de Ignacio de la Llave,30053,Cuitláhuac,300530100,Fraccionamiento San Francisco,C30.06,Cuitláhuac,0
30,Veracruz de Ignacio de la Llave,30055,Chalma,300550019,Las Pilas,C13.03,Huejutla de Reyes,0
30,Veracruz de Ignacio de la Llave,30055,Chalma,300550020,El Pintor,C13.03,Huejutla de Reyes,0
30,Veracruz de Ignacio de la Llave,30060,Chinampa de Gorostiza,300600002,Aquiles Serdán (Río Blanco),C30.01,Naranjos,0
30,Veracruz de Ignacio de la Llave,30071,Huatusco,300710070,Colonia Pastoría Cuatro,C30.07,Huatusco de Chicuellar,0
30,Veracruz de Ignacio de la Llave,30071,Huatusco,300710088,Fraccionamiento Villa la Vista,C30.07,Huatusco de Chicuellar,0
30,Veracruz de Ignacio de la Llave,30086,Jalacingo,300860039,Cuartel Cuatro,C30.08,Jalacingo-San Juan Xiutetelco,0
30,Veracruz de Ignacio de la Llave,30102,Martínez de la Torre,301020047,La Piedrilla,C30.09,Martínez de la Torre,0
30,Veracruz de Ignacio de la Llave,30102,Martínez de la Torre,301020071,Villanueva,C30.09,Martínez de la Torre,0
30,Veracruz de Ignacio de la Llave,30102,Martínez de la Torre,301020120,El Diamante,C30.09,Martínez de la Torre,0
30,Veracruz de Ignacio de la Llave,30128,Perote,301280010,Libertad,C30.10,Perote,0
30,Veracruz de Ignacio de la Llave,30141,San Andrés Tuxtla,301410263,Prolongación Primitivo R. Valencia,C30.11,San Andrés Tuxtla,0
30,Veracruz de Ignacio de la Llave,30141,San Andrés Tuxtla,301410363,Real de San Andrés,C30.11,San Andrés Tuxtla,0
30,Veracruz de Ignacio de la Llave,30153,Tancoco,301530012,Kilómetro Cuarenta y Tres,C30.03,Cerro Azul,0
30,Veracruz de Ignacio de la Llave,30155,Tantoyuca,301550157,La Morita,C30.12,Tantoyuca,0
30,Veracruz de Ignacio de la Llave,30155,Tantoyuca,301550699,Villas de Tantoyuca,C30.12,Tantoyuca,0
30,Veracruz de Ignacio de la Llave,30160,Álamo Temapache,301600138,La Unión,C30.13,Álamo,0
30,Veracruz de Ignacio de la Llave,30160,Álamo Temapache,301600457,Colonia el Esfuerzo (Pueblo Nuevo),C30.13,Álamo,0
30,Veracruz de Ignacio de la Llave,30183,Tlapacoyan,301830018,San Isidro,C30.14,Tlapacoyan,0
30,Veracruz de Ignacio de la Llave,30183,Tlapacoyan,301830095,Santa Ana Maloapan,C30.09,Martínez de la Torre,0
30,Veracruz de Ignacio de la Llave,30189,Tuxpan,301890085,Tampamachoco,C30.15,Túxpam de Rodríguez Cano,0
30,Veracruz de Ignacio de la Llave,30207,Tres Valles,302070055,Campo Veracruz,C30.17,Tres Valles,0
30,Veracruz de Ignacio de la Llave,30207,Tres Valles,302070085,Colonia Nueva la Pochota,C30.17,Tres Valles,0
31,Yucatán,31052,Motul,310520012,Santa Cruz Pachón,C31.01,Motul de Carrillo Puerto,0
11,Guanajuato,11014,Dolores Hidalgo Cuna de la Independencia Nacional,110140742,Colonia Padre Hidalgo,C11.04,Dolores Hidalgo,1714
15,México,15088,Tenancingo,150880051,Tierra Blanca,C15.09,Tenancingo de Degollado,1812
27,Tabasco,27002,Cárdenas,270020016,El Bajío 1ra. Sección,C27.01,Cárdenas,1820
11,Guanajuato,11014,Dolores Hidalgo Cuna de la Independencia Nacional,110140132,Ejido Jesús María,C11.04,Dolores Hidalgo,2014
21,Puebla,21199,Xiutetelco,211990027,San Martín,C30.08,Jalacingo-San Juan Xiutetelco,2031
11,Guanajuato,11017,Irapuato,110170101,Ejido de Malvas (La Argolla),C11.05,Irapuato,2096
14,Jalisco,14074,San Julián,140740075,Colonia Veintitrés de Mayo,C14.04,San Julián,2149
11,Guanajuato,11003,San Miguel de Allende,110030306,Santa Teresita de Don Diego,C11.02,San Miguel de Allende,2174
15,México,15014,Atlacomulco,150140032,El Rincón de la Candelaria,C15.01,Atlacomulco de Fabela,2219
16,Michoacán de Ocampo,16034,Hidalgo,160340477,Antorcha Campesina [Colonia],C16.01,Ciudad Hidalgo,2239
31,Yucatán,31059,Progreso,310590005,Chuburná,C31.02,Progreso,2257
30,Veracruz de Ignacio de la Llave,30189,Tuxpan,301890091,La Victoria (La Peñita),C30.15,Túxpam de Rodríguez Cano,2258
15,México,15040,Ixtapan de la Sal,150400019,Tecomatepec,C15.03,Ixtapan de la Sal,2262
27,Tabasco,27012,Macuspana,270120141,La Escalera,C27.07,Benito Juárez (San Carlos),2277
27,Tabasco,27012,Macuspana,270120231,San Antonio,C27.07,Benito Juárez (San Carlos),2355
21,Puebla,21207,Zacapoaxtla,212070034,Los Cristales (Talican),C21.14,Zacapoaxtla,2359
21,Puebla,21118,Los Reyes de Juárez,211180003,Buenavista de Juárez,C21.01,Acatzingo de Hidalgo,2398
27,Tabasco,27002,Cárdenas,270020009,Arroyo Hondo Abejonal,C27.01,Cárdenas,2406
27,Tabasco,27002,Cárdenas,270020015,El Bajío 2da. Sección,C27.01,Cárdenas,2466
32,Zacatecas,32039,Río Grande,320390027,Los Ramírez,C32.02,Río Grande,2480
21,Puebla,21199,Xiutetelco,211990008,San Andrés,C30.08,Jalacingo-San Juan Xiutetelco,2610
7,Chiapas,7078,San Cristóbal de las Casas,70780145,San Antonio del Monte,C07.06,San Cristóbal de las Casas,2741
11,Guanajuato,11005,Apaseo el Grande,110050051,San Pedro Tenango el Nuevo,C11.03,Apaseo el Grande,2863
27,Tabasco,27005,Comalcalco,270050058,Reyes Hernández 2da. Sección,C27.03,Comalcalco,2876
16,Michoacán de Ocampo,16075,Los Reyes,160750024,San Sebastián,C16.05,Los Reyes de Salgado,2899
30,Veracruz de Ignacio de la Llave,30160,Álamo Temapache,301600041,Chapopote Núñez,C30.13,Álamo,2901
13,Hidalgo,13003,Actopan,130030014,El Huaxtho,C13.01,Actopan,2921
19,Nuevo León,19001,Abasolo,,,M19.01,Monterrey,2997
30,Veracruz de Ignacio de la Llave,30140,San Andrés Tenejapan,,,M30.05,Orizaba,3003
